identifier,title,status,plannedOpeningDate,firstDeadline,allDeadlines,destination,workProgrammePart,typeOfAction,typeOfMGAs,submissionSystem,url
"HORIZON-EUSPA-2026-SPACE-02-52","Innovative space-based applications enhancing capabilities for a resilient Europe","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-EUSPA-2026-SPACE-02-52"
"HORIZON-EUSPA-2026-SPACE-02-51","Space Data Economy","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-EUSPA-2026-SPACE-02-51"
"HORIZON-MSCA-2025-COFUND-02-01","MSCA Choose Europe for Science 2025","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-MSCA-2025-COFUND-02-01"
"PPPA-2025-DISINFORMATION-YOUNG","Building a trustworthy social media sphere: countering disinformation on social media  for young Europeans","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/PPPA-2025-DISINFORMATION-YOUNG"
"HORIZON-CL5-2026-02-D4-01","On-site innovative robotic and automated solutions and techniques for more sustainable and less disruptive building renovation and construction","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-02-D4-01"
"HORIZON-CL5-2026-02-D3-18","Next generation distribution substation for increasing the system resilience","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-02-D3-18"
"HORIZON-CL5-2026-02-D3-19","Innovative solutions for a generative AI-powered digital spine of the EU energy system","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-02-D3-19"
"HORIZON-CL5-2026-02-D3-20","Innovative tools and services to manage and empower energy communities","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-02-D3-20"
"HORIZON-CL5-2026-02-D3-13","De-risking wave energy technology development through transnational pre-commercial procurement of wave energy research and development","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-02-D3-13"
"HORIZON-CL5-2026-02-D3-14","Development of innovative solutions strengthening the security of renewable energy value chains","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-02-D3-14"
"HORIZON-CL5-2026-02-D3-24","New CO2 capture technologies","","","","","","","","","","https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/opportunities/topic-details/HORIZON-CL5-2026-02-D3-24"
